Model,Accuracy,Precision,Recall,F1 Score
Naive Bayes,0.9954545454545455,0.9958181818181817,0.9954545454545455,0.9954229797979799
Random Forest,0.9931818181818182,0.9937348484848485,0.9931818181818182,0.9931754816901672
