Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9454545454545454,0.9484680537431733,0.9454545454545454,0.9458298634385591
Decision Tree,0.9863636363636363,0.9868055555555556,0.9863636363636363,0.9863152866630287
Random Forest,0.9931818181818182,0.9937348484848485,0.9931818181818182,0.9931754816901672
